pk,ts,open,high,low,close,volume
BZ=F#1d,2025-11-14T00:00:00Z,63.05,64.85,63.05,63.87,25663
BZ=F#1d,2025-11-12T00:00:00Z,65.21,65.21,62.56,62.71,41959
BZ=F#1d,2025-11-11T00:00:00Z,63.97,65.29,63.61,65.16,41959
BZ=F#1d,2025-11-10T00:00:00Z,63.69,64.31,63.33,64.06,30891
BZ=F#1d,2025-11-07T00:00:00Z,63.64,64.38,63.24,63.63,36620
BZ=F#1d,2025-11-06T00:00:00Z,63.58,64.33,62.83,63.38,43138
BZ=F#1d,2025-11-05T00:00:00Z,64.26,64.94,63.43,63.52,42320
BZ=F#1d,2025-11-04T00:00:00Z,64.82,64.84,63.83,64.44,36655
BZ=F#1d,2025-11-03T00:00:00Z,65.07,65.31,64.33,64.89,0
BZ=F#1d,2025-10-31T00:00:00Z,64.75,65.5,64.52,65.07,44972
BZ=F#1d,2025-10-30T00:00:00Z,64.85,65.16,64.06,65.0,10024
BZ=F#1d,2025-10-29T00:00:00Z,64.49,65.38,63.93,64.92,16478
BZ=F#1d,2025-10-28T00:00:00Z,65.79,65.79,64.0,64.4,33807
BZ=F#1d,2025-10-27T00:00:00Z,66.26,66.6,65.08,65.62,32237
BZ=F#1d,2025-10-24T00:00:00Z,65.87,66.77,65.44,65.94,38354
BZ=F#1d,2025-10-23T00:00:00Z,64.25,66.34,63.85,65.99,87705
BZ=F#1d,2025-10-22T00:00:00Z,61.62,63.92,61.4,62.59,46114
BZ=F#1d,2025-10-21T00:00:00Z,60.91,62.09,60.34,61.32,45150
BZ=F#1d,2025-10-20T00:00:00Z,61.43,61.55,60.07,61.01,33883
BZ=F#1d,2025-10-17T00:00:00Z,61.11,61.45,60.15,61.29,50372
BZ=F#1d,2025-10-16T00:00:00Z,62.44,62.75,60.84,61.06,46229
BZ=F#1d,2025-10-15T00:00:00Z,62.28,63.02,61.79,61.91,40209
BZ=F#1d,2025-10-14T00:00:00Z,63.44,63.62,61.5,62.39,44016
BZ=F#1d,2025-10-13T00:00:00Z,62.67,63.95,62.67,63.32,54929
BZ=F#1d,2025-10-10T00:00:00Z,65.17,65.35,62.13,62.73,54929
BZ=F#1d,2025-10-09T00:00:00Z,66.09,66.56,64.96,65.22,40845
BZ=F#1d,2025-10-08T00:00:00Z,65.81,66.53,65.78,66.25,38630
BZ=F#1d,2025-10-07T00:00:00Z,65.54,65.83,64.52,65.45,36191
BZ=F#1d,2025-10-06T00:00:00Z,64.82,65.77,64.76,65.47,38055
BZ=F#1d,2025-10-03T00:00:00Z,64.3,65.0,64.21,64.53,38970
BZ=F#1d,2025-10-02T00:00:00Z,65.4,66.12,64.0,64.11,52074
BZ=F#1d,2025-10-01T00:00:00Z,66.09,66.57,65.04,65.35,44601
BZ=F#1d,2025-09-30T00:00:00Z,67.59,67.59,66.91,67.02,46335
BZ=F#1d,2025-09-29T00:00:00Z,69.47,69.93,67.55,67.97,8229
BZ=F#1d,2025-09-26T00:00:00Z,69.7,70.77,69.11,70.13,11917
BZ=F#1d,2025-09-25T00:00:00Z,69.09,69.67,68.44,69.42,21388
BZ=F#1d,2025-09-24T00:00:00Z,67.86,69.36,67.52,69.31,28459
BZ=F#1d,2025-09-23T00:00:00Z,66.59,68.08,66.12,67.63,27893
BZ=F#1d,2025-09-22T00:00:00Z,66.67,67.3,65.94,66.57,23634
BZ=F#1d,2025-09-19T00:00:00Z,67.46,67.56,66.43,66.68,24400
BZ=F#1d,2025-09-18T00:00:00Z,67.89,68.41,67.19,67.44,29610
BZ=F#1d,2025-09-17T00:00:00Z,68.41,68.59,67.62,67.95,30515
BZ=F#1d,2025-09-16T00:00:00Z,67.49,68.69,67.0,68.47,34128
BZ=F#1d,2025-09-15T00:00:00Z,67.22,67.84,66.79,67.44,26320
BZ=F#1d,2025-09-12T00:00:00Z,66.31,68.15,65.72,66.99,50762
BZ=F#1d,2025-09-11T00:00:00Z,67.58,67.61,66.16,66.37,34565
BZ=F#1d,2025-09-10T00:00:00Z,66.44,67.77,66.44,67.49,38789
BZ=F#1d,2025-09-09T00:00:00Z,66.17,67.39,66.14,66.39,38860
BZ=F#1d,2025-09-08T00:00:00Z,65.81,67.03,65.52,66.02,29078
BZ=F#1d,2025-09-05T00:00:00Z,66.84,67.05,65.08,65.5,38287
BZ=F#1d,2025-09-04T00:00:00Z,67.44,67.49,66.32,66.99,42152
BZ=F#1d,2025-09-03T00:00:00Z,69.06,69.23,67.38,67.6,45108
BZ=F#1d,2025-09-02T00:00:00Z,67.43,69.51,67.09,69.14,55307
BZ=F#1d,2025-08-29T00:00:00Z,68.26,68.36,68.03,68.12,0
BZ=F#1d,2025-08-28T00:00:00Z,67.71,68.66,67.4,68.62,8829
BZ=F#1d,2025-08-27T00:00:00Z,67.24,68.1,66.92,68.05,16597
BZ=F#1d,2025-08-26T00:00:00Z,68.73,68.73,67.11,67.22,21046
BZ=F#1d,2025-08-25T00:00:00Z,67.84,69.06,67.58,68.8,19094
BZ=F#1d,2025-08-22T00:00:00Z,67.62,68.02,67.42,67.73,27481
BZ=F#1d,2025-08-21T00:00:00Z,66.95,67.78,66.74,67.67,29950
BZ=F#1d,2025-08-20T00:00:00Z,65.93,67.05,65.82,66.84,39505
BZ=F#1d,2025-08-19T00:00:00Z,66.56,66.58,65.6,65.79,32562
BZ=F#1d,2025-08-18T00:00:00Z,65.95,66.81,65.31,66.6,35004
BZ=F#1d,2025-08-15T00:00:00Z,66.8,67.08,65.73,65.85,35864
BZ=F#1d,2025-08-14T00:00:00Z,65.77,66.98,65.57,66.84,34810
BZ=F#1d,2025-08-13T00:00:00Z,66.05,66.33,65.0,65.63,40497
