pk,ts,open,high,low,close,volume
GC=F#1d,2025-11-17T00:00:00Z,4084.4,4107.6,4051.1,4084.6,110280
GC=F#1d,2025-11-14T00:00:00Z,4197.7,4197.9,4047.0,4087.6,167
GC=F#1d,2025-11-13T00:00:00Z,4228.7,4228.7,4163.7,4186.9,167
GC=F#1d,2025-11-12T00:00:00Z,4115.6,4204.4,4102.9,4204.4,396
GC=F#1d,2025-11-11T00:00:00Z,4140.1,4140.1,4106.8,4106.8,569
GC=F#1d,2025-11-10T00:00:00Z,4060.0,4111.8,4060.0,4111.8,189
GC=F#1d,2025-11-07T00:00:00Z,3980.8,3999.4,3980.8,3999.4,245
GC=F#1d,2025-11-06T00:00:00Z,4004.0,4007.5,3979.9,3979.9,650
GC=F#1d,2025-11-05T00:00:00Z,3929.9,3983.5,3929.9,3980.3,559
GC=F#1d,2025-11-04T00:00:00Z,3994.2,3995.4,3927.4,3947.7,657
GC=F#1d,2025-11-03T00:00:00Z,3976.2,4020.0,3959.0,4000.3,0
GC=F#1d,2025-10-31T00:00:00Z,4034.5,4034.5,3976.6,3982.2,559
GC=F#1d,2025-10-30T00:00:00Z,3960.0,4027.2,3913.7,4001.3,935
GC=F#1d,2025-10-29T00:00:00Z,3983.7,3983.7,3983.7,3983.7,1344
GC=F#1d,2025-10-28T00:00:00Z,3929.7,3966.2,3923.6,3966.2,219
GC=F#1d,2025-10-27T00:00:00Z,4060.0,4078.6,3971.3,4001.9,220
GC=F#1d,2025-10-24T00:00:00Z,4117.5,4120.6,4074.9,4118.4,123
GC=F#1d,2025-10-23T00:00:00Z,4078.4,4136.8,4070.7,4125.5,354
GC=F#1d,2025-10-22T00:00:00Z,4109.7,4148.5,4006.0,4044.4,1237
GC=F#1d,2025-10-21T00:00:00Z,4332.7,4332.7,4087.7,4087.7,2943
GC=F#1d,2025-10-20T00:00:00Z,4244.1,4356.6,4214.6,4336.4,1750
GC=F#1d,2025-10-17T00:00:00Z,4354.7,4358.0,4182.2,4189.9,4060
GC=F#1d,2025-10-16T00:00:00Z,4198.8,4307.0,4196.6,4280.2,4705
GC=F#1d,2025-10-15T00:00:00Z,4145.0,4210.6,4145.0,4176.9,3287
GC=F#1d,2025-10-14T00:00:00Z,4131.7,4160.1,4085.8,4138.7,2424
GC=F#1d,2025-10-13T00:00:00Z,4016.0,4111.0,4016.0,4108.6,1697
GC=F#1d,2025-10-10T00:00:00Z,3957.0,4012.0,3945.5,3975.9,1697
GC=F#1d,2025-10-09T00:00:00Z,4011.2,4046.2,3940.0,3946.3,3130
GC=F#1d,2025-10-08T00:00:00Z,3987.2,4049.2,3987.2,4043.3,2179
GC=F#1d,2025-10-07T00:00:00Z,3959.4,3981.5,3940.0,3976.6,2903
GC=F#1d,2025-10-06T00:00:00Z,3931.3,3960.0,3926.8,3948.5,1267
GC=F#1d,2025-10-03T00:00:00Z,3855.2,3886.8,3853.7,3880.8,392
GC=F#1d,2025-10-02T00:00:00Z,3856.2,3888.6,3823.7,3839.7,3418
GC=F#1d,2025-10-01T00:00:00Z,3863.5,3891.9,3853.3,3867.5,1778
GC=F#1d,2025-09-30T00:00:00Z,3827.5,3865.5,3793.4,3840.8,1611
GC=F#1d,2025-09-29T00:00:00Z,3754.8,3827.6,3754.8,3820.9,8860
GC=F#1d,2025-09-26T00:00:00Z,3775.3,3775.3,3775.3,3775.3,19308
GC=F#1d,2025-09-25T00:00:00Z,3742.8,3756.0,3724.7,3736.9,1899
GC=F#1d,2025-09-24T00:00:00Z,3769.8,3772.5,3732.1,3732.1,588
GC=F#1d,2025-09-23T00:00:00Z,3747.0,3786.0,3740.0,3780.6,627
GC=F#1d,2025-09-22T00:00:00Z,3688.2,3748.2,3688.0,3740.7,410
GC=F#1d,2025-09-19T00:00:00Z,3659.0,3685.9,3658.2,3671.5,211
GC=F#1d,2025-09-18T00:00:00Z,3654.6,3667.4,3637.0,3643.7,80
GC=F#1d,2025-09-17T00:00:00Z,3669.0,3685.2,3661.6,3681.8,183
GC=F#1d,2025-09-16T00:00:00Z,3681.4,3698.6,3681.4,3688.9,373
GC=F#1d,2025-09-15T00:00:00Z,3640.0,3686.4,3635.1,3682.2,210
GC=F#1d,2025-09-12T00:00:00Z,3655.5,3656.8,3643.0,3649.4,1300
GC=F#1d,2025-09-11T00:00:00Z,3632.9,3636.9,3618.4,3636.9,307
