snap_index;snap_ts;price;bias;stage;result;reason;extra
0;2025-10-13T23:55:00Z;63.33;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.65377749839189, ema50=66.59754997331757, rsi_pct=14.5, atr_pct=39.0, slope_pct=-0.0003492616448773889
1;2025-10-14T00:00:00Z;63.3;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
2;2025-10-14T00:05:00Z;63.31;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
3;2025-10-14T00:10:00Z;63.3;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
4;2025-10-14T00:15:00Z;63.31;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
5;2025-10-14T00:20:00Z;63.27;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
6;2025-10-14T00:25:00Z;63.27;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
7;2025-10-14T00:30:00Z;63.14;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
8;2025-10-14T00:35:00Z;63.04;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
9;2025-10-14T00:40:00Z;63.07;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
10;2025-10-14T00:45:00Z;63.09;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
11;2025-10-14T00:50:00Z;63.13;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
12;2025-10-14T00:55:00Z;62.94;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
13;2025-10-14T01:00:00Z;62.98;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
14;2025-10-14T01:05:00Z;63.05;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
15;2025-10-14T01:10:00Z;63.15;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
16;2025-10-14T01:15:00Z;63.06;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
17;2025-10-14T01:20:00Z;63.03;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
18;2025-10-14T01:25:00Z;63.05;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
19;2025-10-14T01:30:00Z;63.01;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
20;2025-10-14T01:35:00Z;62.91;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
21;2025-10-14T01:40:00Z;62.91;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
22;2025-10-14T01:45:00Z;62.9;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
23;2025-10-14T01:50:00Z;62.87;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
24;2025-10-14T01:55:00Z;62.87;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
25;2025-10-14T02:00:00Z;62.76;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
26;2025-10-14T02:05:00Z;62.66;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
27;2025-10-14T02:10:00Z;62.68;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
28;2025-10-14T02:15:00Z;62.71;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
29;2025-10-14T02:20:00Z;62.57;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
30;2025-10-14T02:25:00Z;62.55;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
31;2025-10-14T02:30:00Z;62.48;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
32;2025-10-14T02:35:00Z;62.29;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
33;2025-10-14T02:40:00Z;62.29;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
34;2025-10-14T02:45:00Z;62.29;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
35;2025-10-14T02:50:00Z;62.37;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
36;2025-10-14T02:55:00Z;62.42;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
37;2025-10-14T03:00:00Z;62.25;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
38;2025-10-14T03:05:00Z;62.09;NEUTRAL;DAILY_NEUTRAL;SKIP;RSI_NOT_MIDRANGE;ema20=65.4324653556879, ema50=66.46941075867767, rsi_pct=14.0, atr_pct=34.5, slope_pct=-0.00036369364136763034
