snap_index;snap_ts;price;bias;stage;result;reason;extra
0;2025-10-13T23:55:00Z;63.33;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
0;2025-10-13T23:55:00Z;63.33;NEUTRAL_FLAG;H1_IMPULSE;OK;OK_H1_IMPULSE;imp_dir=UP
0;2025-10-13T23:55:00Z;63.33;NEUTRAL_FLAG;M5_FLAG;SKIP;NOT_ENOUGH_M5_CANDLES;flag_active=False, flag_pos=None, flag_width_atr=None, flag_age_bars=None, m5_rsi_pct=None, m5_atr_pct=None
1;2025-10-14T00:00:00Z;63.3;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
1;2025-10-14T00:00:00Z;63.3;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=8.0, imp_atr=0.24505308551760788, imp_pct=0.11065444198545729
2;2025-10-14T00:05:00Z;63.31;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
2;2025-10-14T00:05:00Z;63.31;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=8.0, imp_atr=0.24505308551760788, imp_pct=0.11065444198545729
3;2025-10-14T00:10:00Z;63.3;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
3;2025-10-14T00:10:00Z;63.3;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=8.0, imp_atr=0.24505308551760788, imp_pct=0.11065444198545729
4;2025-10-14T00:15:00Z;63.31;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
4;2025-10-14T00:15:00Z;63.31;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=8.0, imp_atr=0.24505308551760788, imp_pct=0.11065444198545729
5;2025-10-14T00:20:00Z;63.27;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
5;2025-10-14T00:20:00Z;63.27;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=8.0, imp_atr=0.24505308551760788, imp_pct=0.11065444198545729
6;2025-10-14T00:25:00Z;63.27;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
6;2025-10-14T00:25:00Z;63.27;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=8.0, imp_atr=0.24505308551760788, imp_pct=0.11065444198545729
7;2025-10-14T00:30:00Z;63.14;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
7;2025-10-14T00:30:00Z;63.14;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=8.0, imp_atr=0.24505308551760788, imp_pct=0.11065444198545729
8;2025-10-14T00:35:00Z;63.04;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
8;2025-10-14T00:35:00Z;63.04;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=8.0, imp_atr=0.24505308551760788, imp_pct=0.11065444198545729
9;2025-10-14T00:40:00Z;63.07;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
9;2025-10-14T00:40:00Z;63.07;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=8.0, imp_atr=0.24505308551760788, imp_pct=0.11065444198545729
10;2025-10-14T00:45:00Z;63.09;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
10;2025-10-14T00:45:00Z;63.09;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=8.0, imp_atr=0.24505308551760788, imp_pct=0.11065444198545729
11;2025-10-14T00:50:00Z;63.13;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
11;2025-10-14T00:50:00Z;63.13;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=8.0, imp_atr=0.24505308551760788, imp_pct=0.11065444198545729
12;2025-10-14T00:55:00Z;62.94;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
12;2025-10-14T00:55:00Z;62.94;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_SMALL_ATR;imp_dir=UP, imp_bars=8.0, imp_atr=0.24505308551760788, imp_pct=0.11065444198545729
13;2025-10-14T01:00:00Z;62.98;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
13;2025-10-14T01:00:00Z;62.98;NEUTRAL_FLAG;H1_IMPULSE;OK;OK_H1_IMPULSE;imp_dir=UP
13;2025-10-14T01:00:00Z;62.98;NEUTRAL_FLAG;M5_FLAG;SKIP;NOT_ENOUGH_M5_CANDLES;flag_active=False, flag_pos=None, flag_width_atr=None, flag_age_bars=None, m5_rsi_pct=None, m5_atr_pct=None
14;2025-10-14T01:05:00Z;63.05;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
14;2025-10-14T01:05:00Z;63.05;NEUTRAL_FLAG;H1_IMPULSE;OK;OK_H1_IMPULSE;imp_dir=UP
14;2025-10-14T01:05:00Z;63.05;NEUTRAL_FLAG;M5_FLAG;SKIP;NOT_ENOUGH_M5_CANDLES;flag_active=False, flag_pos=None, flag_width_atr=None, flag_age_bars=None, m5_rsi_pct=None, m5_atr_pct=None
15;2025-10-14T01:10:00Z;63.15;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
15;2025-10-14T01:10:00Z;63.15;NEUTRAL_FLAG;H1_IMPULSE;OK;OK_H1_IMPULSE;imp_dir=UP
15;2025-10-14T01:10:00Z;63.15;NEUTRAL_FLAG;M5_FLAG;SKIP;NOT_ENOUGH_M5_CANDLES;flag_active=False, flag_pos=None, flag_width_atr=None, flag_age_bars=None, m5_rsi_pct=None, m5_atr_pct=None
16;2025-10-14T01:15:00Z;63.06;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
16;2025-10-14T01:15:00Z;63.06;NEUTRAL_FLAG;H1_IMPULSE;OK;OK_H1_IMPULSE;imp_dir=UP
16;2025-10-14T01:15:00Z;63.06;NEUTRAL_FLAG;M5_FLAG;SKIP;NOT_ENOUGH_M5_CANDLES;flag_active=False, flag_pos=None, flag_width_atr=None, flag_age_bars=None, m5_rsi_pct=None, m5_atr_pct=None
